Timestamp,MV101,LIT101,Normal/Attack
2015-12-29 00:00:00,1,814.4162,Normal
2015-12-29 00:00:01,1,814.22,Normal
2015-12-29 00:00:02,1,814.4162,Normal
2015-12-29 00:00:03,1,814.0237,Normal
2015-12-29 00:00:04,1,814.1415,Normal
2015-12-29 00:00:05,1,814.22,Normal
2015-12-29 00:00:06,1,814.22,Normal
2015-12-29 00:00:07,1,814.1807,Normal
2015-12-29 00:00:08,1,814.22,Normal
2015-12-29 00:00:09,1,814.22,Normal
2015-12-29 00:00:10,1,814.1415,Normal
2015-12-29 00:00:11,1,814.1807,Normal
2015-12-29 00:00:12,1,814.1415,Normal
2015-12-29 00:00:13,1,814.1807,Normal
2015-12-29 00:00:14,1,813.9844,Normal
2015-12-29 00:00:15,1,813.7882,Normal
2015-12-29 00:00:16,1,814.1022,Normal
2015-12-29 00:00:17,1,813.8275,Normal
2015-12-29 00:00:18,1,813.5527,Normal
2015-12-29 00:00:19,1,813.6312,Normal
2015-12-29 00:00:20,1,813.9452,Normal
2015-12-29 00:00:21,1,813.9844,Normal
2015-12-29 00:00:22,1,813.9059,Normal
2015-12-29 00:00:23,1,813.8275,Normal
2015-12-29 00:00:24,1,814.2985,Normal
2015-12-29 00:00:25,1,814.3377,Normal
2015-12-29 00:00:26,1,814.6125,Normal
2015-12-29 00:00:27,1,815.0835,Normal
2015-12-29 00:00:28,1,815.162,Normal
2015-12-29 00:00:29,1,815.1228,Normal
2015-12-29 00:00:30,1,814.7695,Normal
2015-12-29 00:00:31,1,815.1228,Normal
2015-12-29 00:00:32,1,815.3583,Normal
2015-12-29 00:00:33,1,815.4761,Normal
2015-12-29 00:00:34,1,815.2013,Normal
2015-12-29 00:00:35,1,814.7695,Normal
2015-12-29 00:00:36,1,815.005,Normal
2015-12-29 00:00:37,1,815.319,Normal
2015-12-29 00:00:38,1,815.1228,Normal
2015-12-29 00:00:39,1,815.005,Normal
2015-12-29 00:00:40,1,815.0835,Normal
2015-12-29 00:00:41,1,814.7302,Normal
2015-12-29 00:00:42,1,814.7302,Normal
2015-12-29 00:00:43,1,814.7695,Normal
2015-12-29 00:00:44,1,814.8873,Normal
2015-12-29 00:00:45,1,814.9658,Normal
2015-12-29 00:00:46,1,814.7695,Normal
2015-12-29 00:00:47,1,814.8873,Normal
2015-12-29 00:00:48,1,814.9265,Normal
2015-12-29 00:00:49,1,814.7695,Normal
2015-12-29 00:00:50,1,814.8873,Normal
2015-12-29 00:00:51,1,814.6125,Normal
2015-12-29 00:00:52,1,815.0835,Normal
2015-12-29 00:00:53,1,815.2013,Normal
2015-12-29 00:00:54,1,815.0835,Normal
2015-12-29 00:00:55,1,814.9658,Normal
2015-12-29 00:00:56,1,814.7302,Normal
2015-12-29 00:00:57,1,814.377,Normal
2015-12-29 00:00:58,1,814.1415,Normal
2015-12-29 00:00:59,1,814.0237,Normal
2015-12-29 00:01:00,1,813.9844,Normal
2015-12-29 00:01:01,1,813.4349,Normal
2015-12-29 00:01:02,1,813.1602,Normal
2015-12-29 00:01:03,1,812.9246,Normal
2015-12-29 00:01:04,1,812.3358,Normal
2015-12-29 00:01:05,1,812.0218,Normal
2015-12-29 00:01:06,1,811.747,Normal
2015-12-29 00:01:07,1,811.3545,Normal
2015-12-29 00:01:08,1,810.4124,Normal
2015-12-29 00:01:09,1,809.8629,Normal
2015-12-29 00:01:10,1,809.2349,Normal
2015-12-29 00:01:11,1,808.7245,Normal
2015-12-29 00:01:12,1,808.0966,Normal
2015-12-29 00:01:13,1,807.9395,Normal
2015-12-29 00:01:14,1,807.3115,Normal
2015-12-29 00:01:15,1,806.8797,Normal
2015-12-29 00:01:16,1,805.9376,Normal
2015-12-29 00:01:17,1,805.5844,Normal
2015-12-29 00:01:18,1,804.9563,Normal
2015-12-29 00:01:19,1,804.2105,Normal
2015-12-29 00:01:20,1,804.0142,Normal
2015-12-29 00:01:21,1,803.7395,Normal
2015-12-29 00:01:22,1,803.504,Normal
2015-12-29 00:01:23,1,803.504,Normal
2015-12-29 00:01:24,1,802.6796,Normal
